,prova_realizada_em,dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,cidade_de_nascimento,bairro
10060,GO - Goiás,13/08/2016,"6,15","1,4",manhã,Masculino,Casado(a),Ensino médio,PIRANHAS,SETOR SUDOESTE
10061,GO - Goiás,08/08/2016,6,2,manhã,Masculino,Solteiro(a),Ensino médio,QUIRINOPOLIS,ZONA RURAL
10062,GO - Goiás,13/08/2016,"5,95","1,7",manhã,Masculino,Casado(a),Superior,Piranhas,Jd Vale da Serraetor Central
10063,GO - Goiás,05/08/2016,"5,7","1,7",manhã,Masculino,Solteiro(a),Ensino médio,Piranhas,sudoeste
10064,GO - Goiás,12/08/2016,"5,65","1,9",Noite,Masculino,Solteiro(a),Ensino médio,Piranhas,Casego
10065,GO - Goiás,07/08/2016,"5,6","1,6",Noite,Feminino,Casado(a),Superior,Piranhas,Setor Central
10066,GO - Goiás,13/08/2016,"5,55","1,8",Noite,Feminino,Solteiro(a),Especialização,PIRANHAS,SUL
10067,GO - Goiás,05/08/2016,"5,55","1,8",manhã,Feminino,Solteiro(a),Ensino médio,Piranhas,setor santa luzia
10068,GO - Goiás,12/08/2016,"5,55","1,3",Noite,Feminino,Casado(a),Superior,Rio Verde ,Setor Central
10069,GO - Goiás,12/08/2016,"5,45","1,7",Noite,Feminino,Solteiro(a),Ensino médio,PIRANHAS,AEROPORTO
10070,GO - Goiás,11/08/2016,"5,3","1,3",Noite,Masculino,Casado(a),Ensino médio,PIRANHAS - GO,Setor Central
10071,GO - Goiás,12/08/2016,"5,25","1,5",Noite,Masculino,Casado(a),Superior,IPORA,Setor Central
10072,GO - Goiás,12/08/2016,"5,25","1,5",Noite,Feminino,Casado(a),Especialização,Iporá,Setor Central
10073,GO - Goiás,04/08/2016,"5,25","1,5",manhã,Masculino,Solteiro(a),Ensino médio,Mineiros,zona Rural
10074,GO - Goiás,11/08/2016,"5,2","1,2",Noite,Masculino,Casado(a),Superior,CAIAPÔNIA,Setor Central
10075,GO - Goiás,11/08/2016,"5,15","0,9",Noite,Masculino,Casado(a),Ensino médio,GOIANIA - GO,ZONA RURAL
10076,GO - Goiás,13/08/2016,"8,8","2,3",Noite,Masculino,Solteiro(a),Superior,Anápolis,Setor Central
10077,GO - Goiás,12/08/2016,"8,6","2,1",Noite,Masculino,Solteiro(a),Ensino médio,URUAÇU,SÃO SEBASTIÃO 
10078,GO - Goiás,11/08/2016,"8,25",2,Noite,Masculino,Divorciado(a),Superior,PORANGATU ,Setor Central
10079,GO - Goiás,12/08/2016,"8,2","2,2",manhã,Masculino,Solteiro(a),Nível técnico,MOZARLÂNDIA,Setor Santos Dumont
10080,GO - Goiás,08/08/2016,"7,75",2,manhã,Masculino,Casado(a),Ensino médio,Avilés - Asturias,Aeroporto
10081,GO - Goiás,05/08/2016,"7,7","2,2",Noite,Feminino,Solteiro(a),Superior,NIQUELANDIA,SETOR AEROPORTO
10082,GO - Goiás,11/08/2016,"7,7","1,7",Noite,Masculino,Casado(a),Ensino médio,uruaçu,Setor Central
10083,GO - Goiás,11/08/2016,"7,55","1,8",Noite,Masculino,Solteiro(a),Ensino médio,uruaçu,Setor Sul II
10084,GO - Goiás,04/08/2016,"7,55","1,8",manhã,Masculino,Solteiro(a),Ensino médio,Ataleia,Setor Central
10085,GO - Goiás,08/08/2016,"7,5",2,Noite,Masculino,Solteiro(a),Superior,URUAÇU,JONAS VEIGAS
10086,GO - Goiás,13/08/2016,"7,4","1,4",Noite,Masculino,Casado(a),Ensino médio,PAILITAS ,ZONA RURAL
10087,GO - Goiás,11/08/2016,"7,3","1,8",Noite,Masculino,Casado(a),Nível técnico,URUAÇU,RECANTO DA SERRA
10088,GO - Goiás,07/08/2016,"7,3","1,8",manhã,Masculino,Solteiro(a),Superior,Uruaçu,centro
10089,GO - Goiás,08/08/2016,"7,25",2,Noite,Feminino,Solteiro(a),Ensino médio,Goiânia,Vila União
10090,GO - Goiás,08/08/2016,"7,15","1,9",Noite,Masculino,Casado(a),Superior incompleto,SANTA TEREZINHA DE GOIAS,PRIVE
10091,GO - Goiás,12/08/2016,"7,05","1,8",Noite,Masculino,Separado(a),Ensino médio,RIALMA,Setor Central
10092,GO - Goiás,04/08/2016,"7,05","1,8",manhã,Masculino,Casado(a),Superior,GOIANIA,SETOR SUL 2
10093,GO - Goiás,12/08/2016,7,2,Noite,Feminino,Solteiro(a),Ensino médio,campinorte,VILA MARCELANDIA
10094,GO - Goiás,13/08/2016,"6,95","1,7",Noite,Masculino,Solteiro(a),Especialização,São João Batista,etor Sul II
10095,GO - Goiás,07/08/2016,"6,95","1,7",manhã,Masculino,Solteiro(a),Ensino médio,URUAÇU,VILA GUIMARÃES
10096,GO - Goiás,08/08/2016,"6,9","1,9",Noite,Masculino,Casado(a),Ensino médio,Uruacu,Sol nascente
10097,GO - Goiás,08/08/2016,"6,85","2,1",Noite,Feminino,Solteiro(a),Ensino médio,SOLEDADE,Setor Central
