dia_da_prova_realizada,nota,nota_redacao,horario_da_prova,sexo,estado_civil,escolaridade,estado_realizado_em,cidade_realizado_em,bairro,cidade_nascimento,estado_nascimento,APROVADO
2017-01-16,5.75,2.0,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,FRIMISA,SANTA LUZIA,MA,SIM
2017-10-01,5.75,1.5,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,INDUSTRIAS II,BELO HORIZONTE,MG,SIM
2017-01-16,5.75,1.5,MANHA,MASCULINO,CASADO,MBA,MG,MINAS GERAIS,FAZENDA LAGINHA,BELO HORIZONTE,MG,SIM
2017-03-01,5.7,1.7,MANHA,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,GUTIERREZ,SAO DOMINGOS DO PRATA,MG,SIM
2017-01-16,5.7,1.7,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,BURITIS,BELO HORIZONTE,MG,SIM
2017-01-15,5.7,1.2,NOITE,FEMININO,DIVORCIADO,SUPERIOR,MG,MINAS GERAIS,N S APARECIDA,TIROS,MG,SIM
2017-01-15,5.7,1.2,NOITE,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,UNIAO,BELO HORIZONTE,MG,SIM
2017-01-15,5.7,1.2,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,DARCY VARGAS,BELO HORIZONTE,MG,SIM
2017-01-14,5.65,1.9,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,CENTRO,CRUCILANDIA,MG,SIM
2017-01-01,5.6,1.6,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,TRES BARRAS,BELO HORIZONTE,MG,SIM
2017-01-13,5.6,1.1,MANHA,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,CAMARGOS,ABRE CAMPO,MG,SIM
2017-01-15,5.55,1.3,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,OURO PRETO,CARBONITA,MG,SIM
2017-01-16,5.5,1.5,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,JARDIM AMERICA I,SERRANIA,MG,SIM
2017-01-14,5.5,1.5,NOITE,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,HOLLYWOOD,ITAMBACURI,MG,SIM
2017-01-16,5.5,1.0,NOITE,MASCULINO,SOLTEIRO,ESPECIALIZACAO,MG,MINAS GERAIS,SALGADO FILHO,BELO HORIZONTE,MG,SIM
2017-01-13,5.45,1.7,MANHA,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,SAPUCAIA,BELO HORIZONTE,MG,SIM
2017-01-14,5.45,1.7,MANHA,MASCULINO,SOLTEIRO,ESPECIALIZACAO,MG,MINAS GERAIS,CENTRO,DIVINO,MG,SIM
2017-10-01,5.45,1.7,MANHA,FEMININO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,LARANJEIRAS,BELO HORIZONTE,MG,SIM
2017-03-01,5.45,1.7,MANHA,MASCULINO,SOLTEIRO,NIVEL TECNICO,MG,MINAS GERAIS,NACIONAL,BELO HORIZONTE,MG,SIM
2017-01-17,5.45,1.2,MANHA,FEMININO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,CABRAL,CONTAGEM,MG,SIM
2017-01-16,5.4,1.4,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,CABRAL,SAO LUIS DO PIAUA,PI,SIM
2017-01-15,5.4,1.4,MANHA,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,NOVO RIACHO,CONTAGEM,MG,SIM
2017-01-14,5.35,1.6,MANHA,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,SAO CAETANO,CONTAGEM,MG,SIM
2017-01-17,5.35,1.6,MANHA,MASCULINO,CASADO,MESTRADO,MG,MINAS GERAIS,ESPIRITO SANTO,SETE LAGOAS,MG,SIM
2017-01-17,5.35,1.6,MANHA,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,SERRA,CURVELO,MG,SIM
2017-01-13,5.35,1.6,MANHA,FEMININO,DIVORCIADO,ENSINO MEDIO,MG,MINAS GERAIS,LINDEIA (BARREIRO),BELO HORIZONTE,MG,SIM
2017-09-01,5.35,1.6,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,NITEROI,ESMERALDAS,MG,SIM
2017-01-17,5.35,1.6,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,CONCORDIA,BELO HORIZONTE,MG,SIM
2017-01-14,5.3,1.3,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,JOAO XXIII,CORONEL FABRICIANO,MG,SIM
2017-01-14,5.25,1.5,NOITE,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,CAMARGOS,BELO HORIZONTE,MG,SIM
2017-01-15,5.25,1.5,MANHA,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,JARDIM INDUSTRIAL,BELO HORIZONTE,MG,SIM
2017-01-16,5.25,1.5,MANHA,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,PIO XII,IGUATAMA,MG,SIM
2017-01-16,5.25,1.5,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,FERNAO DIAS,BELO HORIZONTE,MG,SIM
2017-07-01,5.25,1.0,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,MORADA DO TREVO,CONTAGEM,MG,SIM
2017-01-16,5.2,1.2,MANHA,FEMININO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,SILVEIRA,BELO HORIZONTE,MG,SIM
2017-01-15,5.05,1.3,NOITE,FEMININO,SEPARADO,ENSINO MEDIO,MG,MINAS GERAIS,HAVAI,BELO HORIZONTE,MG,SIM
2017-01-17,5.05,1.3,MANHA,FEMININO,CASADO,SUPERIOR,MG,MINAS GERAIS,SANTA MONICA,CAPIM BRANCO,MG,SIM
2017-01-15,4.95,1.2,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SANTO ANTONIO,FORMIGA,MG,NAO
2017-01-16,4.95,1.2,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,ESTANCIAS IMPERIAIS,BELO HORIZONTE,MG,NAO
2017-10-01,4.95,1.2,MANHA,FEMININO,DIVORCIADO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,JARDIM FLORIDA,SAO PAULO,SP,NAO
2017-06-01,7.7,2.2,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,EMILIA,JEQUITIBA,MG,SIM
2017-01-14,7.6,2.1,NOITE,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,CANAA,BELO HORIZONTE,MG,SIM
2017-03-01,7.5,2.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,JARDIM ARIZONA,SETE LAGOAS,MG,SIM
2017-01-16,7.2,1.7,MANHA,MASCULINO,SEPARADO,SUPERIOR,MG,MINAS GERAIS,MANACAS,DUQUE DE CAXIAS,RJ,SIM
2017-08-01,7.0,2.0,MANHA,MASCULINO,SOLTEIRO,NIVEL TECNICO,MG,MINAS GERAIS,JARDIM EUROPA,BARRA MANSA,RJ,SIM
2017-01-16,7.0,1.5,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,SAO VICENTE,CORONEL FABRICIANO,MG,SIM
2017-01-17,6.85,1.6,MANHA,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,LAGOINHA,VOTUPORANGA,SP,SIM
2017-07-01,6.8,1.8,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,BOA VISTA,PEDRO LEOPOLDO,MG,SIM
2017-10-01,6.75,2.0,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,NOSSA SR. DAS GRACAS,CAETA,MG,SIM
2017-01-15,6.65,1.9,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,SANTA LUZIA,SETE LAGOAS,MG,SIM
2017-01-17,6.6,1.6,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SANTO ANTONIO,TIROS,MG,SIM
2017-01-01,6.55,2.3,NOITE,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,MARACANA,CURVELO,MG,SIM
2017-03-01,6.55,1.8,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,JARDIM ARIZONA,CORDISBURGO,MG,SIM
2017-08-01,6.45,1.7,NOITE,FEMININO,DIVORCIADO,ENSINO MEDIO,MG,MINAS GERAIS,EMILIA,SETE LAGOAS,MG,SIM
2017-01-16,6.4,1.4,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,PROGRESSO,SETE LAGOAS,MG,SIM
2017-06-01,6.35,2.1,MANHA,MASCULINO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,NOSSA SENHORA DAS GRACAS,SETE LAGOAS,MG,SIM
2017-01-16,6.35,1.6,NOITE,MASCULINO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,BELA VISTA III,BELO HORIZONTE,MG,SIM
2017-09-01,6.3,1.8,NOITE,MASCULINO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,SAO JUDAS TADEU,CURVELO,MG,SIM
2017-01-15,6.25,1.5,NOITE,MASCULINO,CASADO,SUPERIOR,MG,MINAS GERAIS,SANTA HELENA,BELO HORIZONTE,MG,SIM
2017-01-16,6.25,1.5,NOITE,FEMININO,SOLTEIRO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,FAZENDINHAS,BELO HORIZONTE,MG,SIM
2017-10-01,6.25,1.5,MANHA,FEMININO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,ZONA RURAL,CAETA,MG,SIM
2017-01-15,6.25,1.5,NOITE,MASCULINO,DIVORCIADO,SUPERIOR INCOMPLETO,MG,MINAS GERAIS,FATIMA,SETE LAGOAS,MG,SIM
2017-10-01,6.2,1.7,MANHA,FEMININO,CASADO,ENSINO MEDIO,MG,MINAS GERAIS,LUXEMBURGO,SETE LAGOAS,MG,SIM
2017-09-01,6.2,1.7,NOITE,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,SAO GERALDO,BARBACENA,MG,SIM
2017-03-01,6.2,1.7,MANHA,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,MATA GRANDE,SETE LAGOAS,MG,SIM
2017-01-16,6.1,1.6,MANHA,FEMININO,SOLTEIRO,SUPERIOR,MG,MINAS GERAIS,RECANTO DO CEDRO,SETE LAGOAS,MG,SIM
2017-09-01,6.1,1.6,NOITE,MASCULINO,SOLTEIRO,ENSINO MEDIO,MG,MINAS GERAIS,SAO CRISTOVAO,SETE LAGOAS,MG,SIM
2017-06-01,6.05,2.3,NOITE,MASCULINO,CASADO,ESPECIALIZACAO,MG,MINAS GERAIS,BOA VISTA,FUNILANDIA,MG,SIM
